name,image_id,confidence,xmin,ymin,xmax,ymax
cube,476,0.9963361620903015,489,1315,585,1390
ball,476,0.1482233852148056,465,927,514,999
cube,0,0.825487494468689,185,1433,239,1493
ball,0,0.18278980255126953,406,1317,441,1393
tyre,0,0.7606549263000488,406,1317,442,1394
square cage,0,0.12893381714820862,185,1433,239,1494
ball,1,0.9686805605888367,349,571,405,619
human body,1,0.9895757436752319,484,506,598,573
circle cage,1,0.4684178829193115,359,751,436,787
circle cage,1,0.0647115707397461,362,764,441,797
human body,10,0.2107403725385666,169,509,223,638
ball,100,0.9868762493133545,246,1338,285,1412
square cage,100,0.9784078001976013,184,1451,242,1522
cylinder,101,0.9611684083938599,474,740,517,777
ball,102,0.9861397743225098,401,963,447,1015
circle cage,102,0.9850735664367676,255,713,294,758
ball,103,0.9870024919509888,193,1352,228,1427
human body,103,0.9880988001823425,358,1249,448,1322
human body,104,0.7810987830162048,181,525,225,612
cube,105,0.9937472343444824,236,1062,341,1129
ball,105,0.9879441261291504,556,730,624,804
ball,106,0.985675573348999,217,668,257,743
tyre,106,0.9973753690719604,243,764,297,859
square cage,106,0.9860551357269287,151,803,223,882
ball,107,0.9750110507011414,151,1300,195,1372
ball,107,0.052153460681438446,297,1275,370,1366
human body,107,0.7967737913131714,295,1274,371,1366
tyre,107,0.2539716958999634,297,1275,370,1366
square cage,107,0.11302544921636581,51,1470,115,1546
circle cage,107,0.6726648807525635,51,1470,114,1546
metal bucket,107,0.11387662589550018,51,1470,114,1546
metal bucket,107,0.07708567380905151,298,1276,369,1366
human body,108,0.9704602956771851,487,326,565,451
ball,109,0.9836667776107788,366,1081,416,1134
human body,109,0.9899390935897827,531,1059,687,1142
circle cage,109,0.9727970361709595,144,1225,228,1281
human body,11,0.9434695243835449,538,326,612,407
ball,110,0.9905699491500854,183,1272,218,1339
human body,110,0.7696099281311035,209,1081,238,1196
circle cage,110,0.9575077891349792,218,1518,282,1588
ball,111,0.9852902293205261,169,1265,209,1334
human body,111,0.8973939418792725,199,1074,231,1192
tyre,111,0.053397923707962036,250,1514,318,1590
circle cage,111,0.9165985584259033,250,1513,318,1590
ball,112,0.3478724956512451,360,1112,405,1156
circle cage,112,0.08699554204940796,361,1110,404,1156
ball,113,0.9869849681854248,512,919,564,971
square cage,113,0.9819626808166504,421,1033,514,1078
ball,114,0.9939885139465332,353,922,439,1000
tyre,114,0.995109498500824,443,655,535,728
cube,115,0.9950065016746521,220,845,263,886
cube,117,0.7376693487167358,331,1221,412,1319
cube,117,0.154241681098938,307,1224,422,1364
cylinder,117,0.165000781416893,218,1326,339,1424
ball,118,0.9861289858818054,507,909,557,958
square cage,118,0.9814814329147339,407,1026,496,1070
ball,119,0.9814738035202026,168,1267,207,1346
ball,119,0.074277363717556,201,1085,232,1195
human body,119,0.7753965258598328,201,1085,231,1197
tyre,119,0.07303467392921448,256,1523,323,1597
circle cage,119,0.9120256304740906,255,1523,323,1596
cylinder,12,0.9236935973167419,290,745,338,781
circle cage,12,0.1492205113172531,922,745,998,786
cube,120,0.20406055450439453,214,545,250,619
cylinder,120,0.47118139266967773,214,546,250,619
human body,120,0.12676379084587097,214,545,250,619
square cage,120,0.11942102760076523,214,545,250,619
ball,121,0.9873928427696228,158,1303,202,1372
human body,121,0.9945151209831238,274,1161,358,1248
ball,122,0.9839959144592285,444,658,512,750
cube,123,0.9968279600143433,431,1041,523,1109
